"All","모두",module,Magento/AdminGws
"None","없음",module,Magento/AdminGws
"Allowed Scopes","허용 범위",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","삭제 권한이 없습니다: %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","이 규칙 업데이트 중 일부를 적용하려면 추가 권한이 필요합니다.",module,Magento/AdminGws
"Please assign this entity to a store view.","상점 뷰에 이 속성을 할당해주세요.",module,Magento/AdminGws
"You can create orders only in an active store.","활성화된 스토어에서만 주문을 생성할 수 있습니다.",module,Magento/AdminGws
"Please assign this item to a store view.","스토어뷰에 이 항목을 할당해 주십시오.",module,Magento/AdminGws
"You need more permissions to save this item.","저장할 권한이 없습니다.",module,Magento/AdminGws
"You need more permissions to delete this item.","삭제할 권한이 없습니다.",module,Magento/AdminGws
"You need more permissions to view this item.","볼수있는 권한이 없습니다.",module,Magento/AdminGws
"Please specify at least one website or one store group.","최소 하나 이상의 웹사이트나 스토어 그룹을 지정해 주십시오.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","역할에 전체 범위를 설정하려면 더 많은 권한이 필요합니다.",module,Magento/AdminGws
"Incorrect website ID: %1","잘못된 웹사이트 ID: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","웹사이트 ""%1""에 접근하려면 추가 권한이 필요합니다.",module,Magento/AdminGws
"Incorrect store ID: %1","잘못된 스토어 ID: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","설정을 저장할 권한이 없습니다.",module,Magento/AdminGws
"Role Scopes","역할 범위",module,Magento/AdminGws
"Custom","사용자 정의",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item.",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again.",module,Magento/AdminGws
"More permissions are needed to save this item.","More permissions are needed to save this item.",module,Magento/AdminGws
"More permissions are needed to delete this item.","More permissions are needed to delete this item.",module,Magento/AdminGws
"More permissions are needed to view this item.","More permissions are needed to view this item.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again.",module,Magento/AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again.",module,Magento/AdminGws
"More permissions are needed to save this setting.","More permissions are needed to save this setting.",module,Magento/AdminGws
"Read Details","상세 보기",module,Magento/AdminNotification
"Mark as Read","읽음으로 표시",module,Magento/AdminNotification
"Are you sure?","확실합니까?",module,Magento/AdminNotification
"Remove","삭제",module,Magento/AdminNotification
"Messages Inbox","받은 메시지함",module,Magento/AdminNotification
"You have %1 new system messages","%1개의 새로운 시스템 메시지가 있습니다.",module,Magento/AdminNotification
"You have %1 new system message","%1개의 새로운 시스템 메시지가 있습니다.",module,Magento/AdminNotification
"Incoming Message","받은 메시지",module,Magento/AdminNotification
"close","닫기",module,Magento/AdminNotification
"Notifications","알림",module,Magento/AdminNotification
"The message has been marked as Read.","메시지를 읽은 상태로 표시했습니다.",module,Magento/AdminNotification
"We couldn't mark the notification as Read because of an error.","오류로 인해 이 알림을 읽은 상태로 표시할 수 없습니다.",module,Magento/AdminNotification
"Please select messages.","메시지를 선택해주세요.",module,Magento/AdminNotification
